text,labels
"This is an amazing blend of hot beats and a good rapper. It's underground","4,4,4"
"These tracks are not the ""original"" versions but are re-recorded versions. So","2,2,3"
"Tess Lindsay is content to be the sole occupant of a remote island but when Colin Macpherson washes ashore her life of solitude gets shaken up. Tess had always been told to fear strange men but she reluctantly strikes up a friendship with Colin. Soon Tess discovers that she has a family she had forgotten about but will she have the courage to leave the island and start a new life?The beginning of this book is very amusing and the end is decent too but the middle is a big problem. The plot loses much of it's believability mostly due to the poor characterization. All of the new characters that are introduced are one sided and their behavior lacks reason. Even Tess and Colin's development is side tracked in much the same way and their relationship seems awkward and forced. The writing does improve towards the end but it's not enough to save the book. Unless you have your heart set on reading all of the books in the series","4,4,2"
These pants were way too big (looked about 2 sizes larger),"2,2,5"
THIS IS SIMPLY A GREAT ALBUM,"5,4,1"
This is my first encounter with Yoruba and I have to say that CDs are really helping. However,"4,4,3"
works real good....a little hard to set up...web part doesnt work thru handset manager as advertised.....have to go into networking and turn it on,"2,4,2"
It is a quality ball but the small is still too big and heavy for my little yorkie to play with comfortably.,"2,3,4"
I have to admit that this is a book I never would have thought to purchase given that it would mean reading the bio of an 18 year old kid!!! Still,"2,5,3"
"Y TAMBIEN LA VIDA INTIMA DE LOS TRIUNFADORES...Por eso me fascinó este libro que me regaló mi esposa !Y seguro a mis cuantes tambien..porque alguno de ellos me ""incautó "" el libro !YA DEVUELVELO","4,5,2"
"Man I love Oh's cereal. It is really great to the last bite","5,2,4"
In a world where media is dominant this movie is so refreshing as it chronicles the agony of a person who yearns for God. Watch it! 0:),"4,4,2"
This book never really seems to get going. There is too much time spent in the courtroom while basic questions about the crime and the suspect/defendant are left unasked.After 200 pages,"4,2,5"
"This book is quite touching. It tells Dorie's story of all the unbelievably horribe things she experience while growing up being abused both physially and sexually. It gives hope to those who believe that no one's situation is as bad as their's or those who think recovery is not possible. If you are looking for self help to enhance you own healing journey this book is probably not what you need if you dont fall into the above categories. However","5,4,3"
While I believe in discrimination,"4,3"
Sadly,"4,2,2"
"This book was in my library's Genealogy section","3,3"
As a physician who is studying and doing acupuncture,"4,3"
I bought this pillow for my mother,"4,4"
"I ordered this particular product as a trial substitute for the ""Controlgel"" by Textureline","4,3"
"I've been using this model racket for around 15 years and it's still one of the best rackets ever made by Prince. The Prince Graphite Mid Plus is still one of the stiffest rackets you can get and it also has excellence weight and balance.This racket is more suited to the higher standard player. It provides exceptional control especially with volleys. I have these rackets strung at between 62-64 pounds for hard court and grass court play.It will be a sad day when there are no more of these rackets available.","5,5"
"I didn't buy this game","3,3"
"This game interesting. It has good graphics and nice music. But if youre my age lets re-think the fun part. All you do is press up and down on the keybord and maybe you would hit the space bar. Well if your child likes challenging games well don't get this for them. THIS IS FOR A PRESCHOOLER!!!!","4,4"
Like many of the Barbie CD Roms,4
I bought this game for my daughter who is almost seven. She enjoys it very much. It works perfectly with Windows XP. I like the fact that it has skill levels,"4,4"
Very disappointed in this product. It worked perfectly for exactly three days and could not be resuscitated. It was very inexpensive so I did not want to pay half again the price to ship it back for an exchange,"1,2"
These work fine and we now have two in the apartment,4
I was sceptical about this book at first,4
I loved reading this book,5
I agree w/ the other fans: Chocolate is a fantastic single. If you like the song,5
I bought the DVD thinking it would be back to back episodes of Thomas with no interruptions. Instead it has footage of a Thomas event and children and adults giving reviews of Thomas and their favorite episodes. I found it cheesy and annoying. My son loves Thomas and I hoped it would be strictly the episodes and not other footage. Thankfully the footage between the episodes is brief enough to tolerate the video.,4
Our two-year old grandson loved this - and we enjoyed watching it with him. Some good lessons to be learned by any age!,5
"My son really liked this as it shows some scenes from Thomas' Day Out which he could relate to having been before.The footage is mixed in with Thomas episodes and interviews. The brief interview sections did'nt really hold his attention but the rest is really good.",5
What can I say it is a surge protector and small enough to use with small electronic items such as a wireless phone system,3
"I have bought dockers for years but these are cut smaller than they usually are. Even with the ""stretch"" waist band they are tight. So much for an ""extra"" inch. Beware. Try these in a store before you buy.",2
I agree,5
